Instance,LP_Bound,LR_Bound,LP_Time_s,LR_Time_s,Gap_%
c101C10.txt,154.68,148.88,0.16,2.89,-3.75
c101C5.txt,145.36,130.93,0.02,2.13,-9.93
c103C5.txt,113.93,106.46,0.02,2.09,-6.56
c202C10.txt,132.68,129.64,0.04,2.84,-2.29
c206C5.txt,139.03,123.52,0.02,2.24,-11.16
c208C5.txt,81.48,77.23,0.02,2.21,-5.22
r103C10.txt,110.2,105.77,0.03,2.86,-4.02
r104C5.txt,85.28,85.09,0.03,2.39,-0.22
r105C5.txt,109.7,108.11,0.03,2.32,-1.45
r201C10.txt,141.44,137.54,0.03,3.0,-2.76
r202C5.txt,107.1,95.84,0.03,2.39,-10.51
rc105C5.txt,112.27,105.41,0.03,2.44,-6.11
rc201C10.txt,146.01,135.57,0.04,2.91,-7.15
rc204C5.txt,84.36,84.23,0.03,2.37,-0.15
rc208C5.txt,88.94,83.84,0.03,2.33,-5.73
